Contig	Start	End	Strand	Length	PID	Gene	Synonym	Code	COG	Product	ket/xyl_E1004_01	ket/xyl_E1004_03	ket/xyl_E1004_04	propofol_E1004_05	propofol_E1004_06	propofol_E1004_08	input_E1004_13	input_E1004_14	input_E1004_15
CP009208	685753	686772	-	1020	AIK79303.1	-	VK055_0680	-	-	dipeptidase AC. Metallo peptidase	196.0536244	200.613416	210.8326352	122.6507214	303.2624985	138.4164907	124.5213578	126.3096065	130.4339644
CP009208	687016	688008	+	993	AIK79304.1	-	VK055_0681	-	-	alpha/beta hydrolase fold family protein	7.717353726	0	5.351513302	0	4.926912561	54.65713938	17.55708839	22.84092714	24.9720964
CP009208	688095	688835	+	741	AIK79305.1	-	VK055_0682	-	-	response regulator	7.635254218	5.395470846	3.227896912	22.07944183	3.970944452	12.95844762	28.62722043	37.10749992	37.56671893
CP009208	688832	690175	+	1344	AIK79306.1	-	VK055_0683	-	-	HAMP domain protein	36.53428094	7.749858124	14.44059145	0	26.10528297	39.96124628	62.19016851	151.8885628	138.3236992
CP009208	690278	691468	+	1191	AIK79307.1	-	VK055_0684	-	-	ahpC/TSA family protein	26.10764346	3.531580917	9.004133492	0	16.83974592	29.89854115	17.13402602	79.1146309	82.73364111
CP009208	691645	692526	-	882	AIK79308.1	-	VK055_0685	-	-	"bacterial regulatory helix-turn-helix, lysR family protein"	0	0	0	0	0	0	0	0	0
CP009208	692732	694204	-	1473	AIK79309.1	ddc	VK055_0686	-	-	"L-2,4-diaminobutyrate decarboxylase"	5.829065048	24.23056907	9.089078147	3.814772672	11.32454529	7.528930458	37.58204061	61.24538822	59.6434998
CP009208	694223	695608	-	1386	AIK79310.1	dat	VK055_0687	-	-	diaminobutyrate--2-oxoglutarate aminotransferase	30.62311638	16.57881042	0	14.796694	28.23782722	92.01221743	22.35179526	23.70556791	21.06342044
CP009208	695915	696850	-	936	AIK79311.1	-	VK055_0688	-	-	putative thiamine biosynthesis protein	110.8343354	266.5362598	103.1228119	158.1396672	116.6281093	71.74202004	123.5342123	180.0614414	163.5853271
CP009208	696875	697585	-	711	AIK79312.1	-	VK055_0689	-	-	binding-protein-dependent transport system innermembrane component family protein	25.69714592	32.47092454	0	0	5.956416679	36.05199393	25.59527343	49.14041737	47.91747193
CP009208	697582	698310	-	729	AIK79313.1	-	VK055_0690	-	-	ABC transporter family protein	0	0	0	0	0	0	1.410207903	4.611417466	6.442077041
CP009208	698307	699002	-	696	AIK79314.1	-	VK055_0691	-	-	"transcriptional activator, TenA family"	0	0	0	0	0	4.777975098	0	0	0.723828881
CP009208	699419	700525	+	1107	AIK79315.1	-	VK055_0692	-	-	hypothetical protein	64.44811356	52.77751482	4.332177435	0	57.28455053	120.8248551	53.30585872	90.85933476	90.18907858
CP009208	700563	701735	-	1173	AIK79316.1	-	VK055_0693	-	-	"oxidoreductase, Gfo/Idh/MocA family"	33.9891962	122.330039	20.55660665	13.40950394	36.10618011	131.756283	84.75349495	121.6261357	127.5386488
CP009208	701749	702672	-	924	AIK79317.1	-	VK055_0694	-	-	xylose isomerase-like TIM barrel family protein	183.3282007	20.89518709	21.49099786	93.51973006	21.76665848	122.1279393	31.30661544	35.30616498	38.07339914
CP009208	702865	703905	-	1041	AIK79318.1	-	VK055_0695	-	-	"bacterial regulatory, lacI family protein"	18.55448875	46.40104927	49.60767886	38.84132176	20.1488663	33.30103857	32.50529216	41.64686399	41.90969221
CP009208	704303	705559	+	1257	AIK79319.1	-	VK055_0696	-	-	diguanylate cyclase domain protein	168.8786874	392.9864765	168.8699753	869.7681693	35.81203608	158.3971139	124.027785	115.8618638	116.8983643
CP009208	705657	706964	-	1308	AIK79320.1	guaD	VK055_0697	-	-	guanine deaminase	1.641990154	11.77193639	38.90465226	33.52375985	115.8927492	88.10296507	54.50453544	54.40031542	57.97869337
CP009208	707069	708565	-	1497	AIK79321.1	-	VK055_0698	-	-	"permease for cytosine/purines, uracil, thiamine,allantoin family protein"	95.89222502	334.5191924	117.8182373	204.9573318	189.8699736	116.9156028	187.3461199	221.7083054	204.6264247
CP009208	708710	709426	+	717	AIK79322.1	-	VK055_0699	-	-	"bacterial regulatory, gntR family protein"	60.42523768	0	0	0	0	117.1327835	15.30075574	27.524398	22.65584398
CP009208	709447	710169	+	723	AIK79323.1	-	VK055_0700	-	-	asp/Glu/Hydantoin racemase family protein	0	0	146.6994202	18.26466916	17.575106	0	35.39621836	69.74768918	66.44749128
CP009208	710182	710418	+	237	AIK79324.1	-	VK055_0701	-	-	putative polysaccharide deacetylase	8.374149788	243.0904865	0	20.11425591	32.79705974	8.687227452	27.78109568	34.72973779	40.751566
CP009208	710476	711114	+	639	AIK79325.1	-	VK055_0702	-	-	hypothetical protein	90.71995603	47.97064079	21.66088717	92.13254	59.27002275	90.70913331	109.573154	130.4887036	111.903945
CP009208	711203	711994	-	792	AIK79326.1	-	VK055_0703	-	-	sulfite exporter TauE/SafE family protein	155.5785671	29.0374431	16.13948456	47.2800613	11.32454529	67.54319344	68.46559368	63.11877657	63.62455865
CP009208	712104	712871	+	768	AIK79327.1	-	VK055_0704	-	-	"bacterial regulatory helix-turn-helix, AraC family protein"	300.6483973	176.3828469	562.078786	97.33450273	187.5903574	129.0053277	198.2047207	172.928155	167.8559175
CP009208	713074	713298	+	225	AIK79328.1	-	VK055_0705	-	-	hypothetical protein	6.978458156	225.4325819	246.2545565	0	30.29683545	53.57123595	35.04366638	23.12914073	24.03111885
CP009208	713461	714114	-	654	AIK79329.1	-	VK055_0706	-	-	alpha/beta hydrolase fold family protein	79.47232348	142.2442314	72.62768052	216.6328481	996.1187695	326.0606037	82.28563112	64.19957754	53.99763453
CP009208	714488	715213	-	726	AIK79330.1	-	VK055_0707	-	-	glutamine amidotransferase class-I family protein	221.8328699	144.3043203	66.85144394	515.9191042	190.9730138	284.2171248	105.6950823	74.71937363	80.9240689
CP009208	715792	716106	+	315	AIK79331.1	-	VK055_0708	-	-	"bacterial regulatory helix-turn-helix, AraC family protein"	0	0	0	0	0	0	0	0	0
CP009208	717669	717845	-	177	AIK79332.1	-	VK055_0709	-	-	ASCH domain protein	0	0	0	0	0	0	0	0	0
CP009208	718026	718169	+	144	AIK79333.1	-	VK055_0710	-	-	hypothetical protein	5.41856751	40.51508108	1.189225178	0	5.956416679	68.84627756	9.659924134	8.502300953	2.605783972
CP009208	718203	718370	+	168	AIK79334.1	-	VK055_0711	-	-	putative membrane domain protein	0	8.044156533	36.18642328	9.825929611	5.809344662	4.777975098	19.17882748	27.09207761	25.40639373
CP009208	718374	719648	-	1275	AIK79335.1	fabF2	VK055_0712	-	-	beta-ketoacyl-acyl-carrier-protein synthase II	14.8600109	95.45078423	16.13948456	23.23543355	33.53241982	27.36476647	68.1835521	139.8556453	148.6020693
CP009208	719668	721230	-	1563	AIK79336.1	-	VK055_0713	-	-	H+ antiporter-2 family protein	49.9165007	160.9812301	153.8347713	85.31218886	188.7669335	48.57608017	111.5474451	171.847354	178.7133507
CP009208	721227	722270	-	1044	AIK79337.1	-	VK055_0714	-	-	"efflux transporter, RND family, MFP subunit"	26.76443952	4.414476146	15.03520404	27.1658054	2.426688276	104.8982715	24.25557593	35.01795138	39.37629113
CP009208	722254	722811	-	558	AIK79338.1	-	VK055_0715	-	-	hxlR-like helix-turn-helix family protein	0	0	1.698893112	0	15.44256176	4.12643304	14.454631	24.78636888	19.83291134
CP009208	723192	724250	+	1059	AIK79339.1	asd	VK055_0716	-	-	aspartate-semialdehyde dehydrogenase	86.77917966	98.09946992	0	71.67148657	38.6064044	60.37623079	30.17844912	39.12499506	36.33620983
CP009208	724288	724710	-	423	AIK79340.1	-	VK055_0717	-	-	acetyltransferase family protein	0	0	0	0	1.985472226	8.61483389	3.525519757	3.602669895	3.83629307
CP009208	724796	725182	-	387	AIK79341.1	-	VK055_0718	-	-	hypothetical protein	10.5908365	1.961989398	9.768635392	0	28.01721919	3.185316732	16.92249483	35.81053876	36.98765582
CP009208	725179	726576	-	1398	AIK79342.1	-	VK055_0719	-	-	"amidohydrolase, AtzE family protein"	5.336468002	2.844884628	3.227896912	0	1.176576134	8.252866079	11.70472559	71.47697073	81.64789778
CP009208	726573	726758	-	186	AIK79343.1	-	VK055_0720	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	726769	728355	-	1587	AIK79344.1	-	VK055_0721	-	-	putative gamma-glutamyltransferase ywrD	0	15.40161678	0	33.06136316	20.95776239	27.79912785	18.61474432	84.08631536	68.25706348
CP009208	728535	729374	+	840	AIK79345.1	-	VK055_0722	-	-	"helix-turn-helix domain, rpiR family protein"	22.08476758	29.62603992	55.21402613	0	35.076676	66.60207713	52.53024438	114.3487425	107.3438231
CP009208	729589	730374	+	786	AIK79346.1	-	VK055_0723	-	-	"bacterial extracellular solute-binding, 3 familyprotein"	29.8021213	9.809946992	29.6456848	92.9417342	33.97363587	54.00559733	24.81965909	31.41528149	31.99323654
CP009208	730384	731049	+	666	AIK79347.1	-	VK055_0724	-	-	"amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein"	5.254368494	7.553659184	2.038671734	17.6866733	9.706753106	28.95742484	23.40945119	29.61394654	29.24268679
CP009208	731049	731705	+	657	AIK79348.1	-	VK055_0725	-	-	"amino ABC transporter, permease, 3-TM region, His/Glu/Gln/Arg/opine family domain protein"	44.58003269	0	0	407.6026801	87.801994	107.9388011	39.48582128	50.86969892	39.15914247
CP009208	731686	732423	+	738	AIK79349.1	-	VK055_0726	-	-	ABC transporter family protein	28.40642967	230.6318538	133.0233306	68.55030893	48.53376553	115.395338	60.9209814	74.50321344	84.10891598
CP009208	732439	733680	+	1242	AIK79350.1	pucG	VK055_0727	-	-	purine catabolism protein pucG	51.47639134	121.3490443	239.7987627	29.70898718	65.44704746	9.483556635	41.17807076	72.05339791	70.93523034
CP009208	733677	734936	+	1260	AIK79351.1	-	VK055_0728	-	-	"amidase, hydantoinase/carbamoylase family protein"	3.201880801	18.73699875	0	0	0	0	5.147258845	31.55938828	31.84847077
CP009208	734969	735946	-	978	AIK79352.1	-	VK055_0729	-	-	nitronate monooxygenase family protein	29.7200218	5.984067665	8.324576247	0	26.25235499	23.09354631	27.78109568	86.75229108	85.55657374
CP009208	736115	737011	+	897	AIK79353.1	-	VK055_0730	-	-	"bacterial regulatory helix-turn-helix, lysR family protein"	24.87615084	87.99522452	11.63741781	9.825929611	91.03757837	18.09839052	39.27429009	52.16666009	56.38626983
CP009208	737076	737609	+	534	AIK79354.1	-	VK055_0731	-	-	putative e3 ubiquitin-protein ligase TRIM33	0	0	0	0	0	0.434361373	2.185822249	0.936694173	1.737189315
CP009208	737732	738253	+	522	AIK79355.1	-	VK055_0732	-	-	transposase family protein	0	0	0	0	0	0	0	0	0
CP009208	738310	739095	+	786	AIK79356.1	-	VK055_0733	-	-	putative transposase	0	0	0	0	0	0	0	0	0
CP009208	739291	740391	-	1101	AIK79357.1	-	VK055_0734	-	-	dihydrouridine synthase family protein	0	0	0	0	0	0	0.423062371	0	0
CP009208	740499	742106	-	1608	AIK79358.1	ydhS	VK055_0735	-	-	hypothetical protein with FAD/NAD(P)-binding domain	131.6055109	68.08103212	91.06067079	0	70.74164006	128.7157534	72.4846862	85.81559691	78.39066782
CP009208	742382	743614	+	1233	AIK79359.1	-	VK055_0737	-	-	sugar (and other) transporter family protein	131.6876104	61.41026817	199.534996	48.89844971	104.6417399	113.7302861	76.22173714	72.70187849	71.87620789
CP009208	743611	744537	-	927	AIK79360.1	-	VK055_0736	-	-	eamA-like transporter family protein	244.4102345	68.08103212	98.8755791	40.22851182	131.555919	20.6321652	42.16521629	47.26702903	47.55555749
CP009208	744739	745839	+	1101	AIK79361.1	-	VK055_0739	-	-	putative aBC-type spermidine/putrescine transport systems	113.2973207	53.46421111	355.0686603	84.27179631	110.0098685	101.6405612	96.66975173	71.69313092	82.80602399
CP009208	745815	746393	-	579	AIK79362.1	-	VK055_0738	-	-	"bacterial regulatory, tetR family protein"	21.83846905	20.60088868	50.03240214	58.03078429	22.50201856	41.62629821	67.19640656	46.33033486	42.56113821
CP009208	746735	747427	+	693	AIK79363.1	-	VK055_0740	-	-	hypothetical protein	212.7198245	14.32252261	46.12494798	202.41415	42.65088486	69.20824537	47.03043356	34.00920381	30.76272745
CP009208	747661	748140	+	480	AIK79364.1	-	VK055_0741	-	-	hypothetical protein	49.17760513	3.629680387	3.142952257	19.53626005	103.6857718	28.59545703	24.6786383	14.26657279	16.72044715
CP009208	748131	748256	+	126	AIK79365.1	-	VK055_0742	-	-	hypothetical protein	0	25.50586218	2.378450356	5.086363563	27.28185911	0	9.800944924	6.700966005	7.310671699
CP009208	748332	748868	+	537	AIK79366.1	-	VK055_0743	-	-	acetyltransferase family protein	6.075363572	71.90691145	78.91358504	18.61146667	29.63501138	70.07696811	56.83137848	31.70349508	30.18366434
CP009208	748906	750162	-	1257	AIK79367.1	oxlT	VK055_0744	-	-	oxalate/formate antiporter	1613.091128	0	0	0	23.16384264	54.29517157	20.80056657	13.8342524	14.69372629
CP009208	750397	750639	+	243	AIK79368.1	-	VK055_0745	-	-	hypothetical protein	84.89089099	149.89599	52.66568646	113.7495851	213.6956403	99.9031157	82.5676727	50.94175232	49.58227835
CP009208	750737	751795	-	1059	AIK79369.1	-	VK055_0746	-	-	periplasmic binding and sugar binding domain of LacI family protein	97.69841419	122.7224369	39.07454157	127.7370849	103.3180918	566.8415912	111.7589763	83.50988818	75.92964962
CP009208	752196	752444	+	249	AIK79370.1	-	VK055_0747	-	-	"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2 family protein"	97.61631468	22.1704802	0	11.0975205	0	11.43818281	15.23024535	13.6901456	13.9698974
CP009208	752456	752722	+	267	AIK79371.1	-	VK055_0748	-	-	"PTS system, Lactose/Cellobiose specific IIB subunit"	0	0	0	0	6.471168737	23.88987549	2.538374225	1.72928155	1.230509098
CP009208	752753	754015	+	1263	AIK79372.1	-	VK055_0749	-	-	PTS system sugar-specific permease component family protein	240.0589606	20.50278921	433.9822454	332.9256151	388.7113403	482.2859107	185.5128496	124.220058	122.0375493
CP009208	754069	754716	+	648	AIK79373.1	alsE	VK055_0750	-	-	D-allulose-6-phosphate 3-epimerase	0	5.003072966	0	0	0.661824075	0	9.307372158	4.683470864	5.428716608
CP009208	754833	755303	+	471	AIK79374.1	fruA	VK055_0751	-	-	"PTS system, fructose subfamily, IIA component domain protein"	0	0	0	0	0	0	16.21739088	12.10497085	6.007779713
CP009208	755360	755671	+	312	AIK79375.1	frwB	VK055_0752	-	-	frwB	0	0	0	0	0	0	0	0	0
CP009208	755714	756820	+	1107	AIK79376.1	-	VK055_0753	-	-	"PTS system, Fru family, IIC component domain protein"	358.1180527	252.9985329	294.5880656	303.332227	250.3165725	281.9729244	178.1092581	89.20210661	102.204638
CP009208	757026	757646	+	621	AIK79377.1	-	VK055_0754	-	-	lysE type translocator family protein	160.6687366	757.9165046	358.8062252	159.6424564	905.9636232	69.57021318	143.7001853	92.15629593	79.33164536
CP009208	757704	758912	-	1209	AIK79378.1	-	VK055_0755	-	-	major Facilitator Superfamily protein	103.9379768	220.3314094	247.7835603	239.8682817	660.7945713	261.0511849	202.5058548	117.0147182	115.0164092
CP009208	759016	759918	+	903	AIK79379.1	-	VK055_0756	-	-	"bacterial regulatory helix-turn-helix, lysR family protein"	232.7521044	1332.092702	625.2776098	106.8136348	449.2314752	391.9387452	220.2744744	127.4624609	121.0965718
CP009208	759960	760865	-	906	AIK79380.1	-	VK055_0757	-	-	"bacterial regulatory helix-turn-helix, lysR family protein"	96.7132201	162.8451201	422.1749383	380.7836722	27.42893112	55.16389432	82.99073508	52.52692708	54.86622918
CP009208	761077	761529	+	453	AIK79381.1	-	VK055_0758	-	-	metallo-beta-lactamase superfamily protein	19.37548382	438.4065311	50.54207007	155.0184895	86.0371298	102.0749226	35.96030152	20.6793252	18.67478513
CP009208	761492	761608	+	117	AIK79382.1	-	VK055_0759	-	-	putative enzyme	0	11.18333957	44.59594418	249.5786121	25.73760293	49.0828351	37.93459258	26.08333004	19.76052845
CP009208	761907	762335	-	429	AIK79383.1	-	VK055_0760	-	-	tonB C terminal family protein	84.06989591	47.18584503	37.97026105	191.663427	45.88646923	411.7021877	40.40245641	33.57688343	27.3607317
CP009208	762478	763590	-	1113	AIK79384.1	-	VK055_0761	-	-	"peptidase, ArgE/DapE family protein"	92.19774717	67.00193796	51.73129525	117.3331595	232.0061064	121.7659714	137.1427185	113.6282085	96.63115562
CP009208	763590	764345	-	756	AIK79385.1	-	VK055_0762	-	-	hypothetical protein	61.41043178	107.9094169	57.33764252	329.9200366	195.6057823	60.52101791	97.1633245	70.46822315	65.57889662
CP009208	764360	765439	-	1080	AIK79386.1	-	VK055_0763	-	-	"resiniferatoxin-binding, phosphotriesterase-related protein"	6.896358649	161.0793296	32.95852637	0	86.40480984	8.687227452	50.48544292	47.84345621	41.62016066
CP009208	765443	766423	-	981	AIK79387.1	-	VK055_0764	-	-	branched-chain amino acid transport system / permease component family protein	83.33100034	84.75794201	154.1745499	104.6172506	90.74343434	262.9334175	75.23459161	63.62315035	63.62455865
CP009208	766463	767209	-	747	AIK79388.1	-	VK055_0765	-	-	ABC transporter family protein	58.70114802	112.520092	26.75756651	15.60588821	237.153627	27.21997935	67.76048973	70.39616976	50.95755323
CP009208	767590	768612	-	1023	AIK79389.1	-	VK055_0766	-	-	helix-turn-helix family protein	49.67020217	131.1589913	134.1276112	93.28853172	154.8668336	67.0364385	104.919468	118.5278396	101.8427236
CP009208	768958	769911	+	954	AIK79390.1	-	VK055_0767	-	-	periplasmic binding and sugar binding domain of LacI family protein	1.80618917	145.1872155	6.116015202	0	18.01632205	19.61865533	16.99300523	30.11832033	27.07120015
CP009208	769913	770416	-	504	AIK79391.1	-	VK055_0768	-	-	pfkB carbohydrate kinase family protein	0	0	0	0	0	0	0	13.25782522	13.17368564
CP009208	770865	770984	-	120	AIK79392.1	-	VK055_0769	-	-	hypothetical protein	9.851940927	0	0	0	0	11.29339569	2.46786383	3.962936885	4.19820751
CP009208	771012	771131	+	120	AIK79393.1	-	VK055_0770	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	772284	772508	+	225	AIK79394.1	-	VK055_0771	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	772705	772878	-	174	AIK79395.1	-	VK055_0772	-	-	"bacterial regulatory helix-turn-helix, lysR family protein"	5.090169479	55.03380262	6.031070546	9.825929611	0	0	8.884309787	6.340699016	3.908675958
CP009208	772958	774163	-	1206	AIK79396.1	metC	VK055_0773	-	-	cystathionine beta-lyase	61.73882981	17.06930777	110.3431076	82.88460625	178.1777483	58.13203037	76.15122675	46.54649505	48.49653503
CP009208	774250	774462	-	213	AIK79397.1	-	VK055_0774	-	-	aminotransferase domain protein	321.5016722	26.68305582	31.08974394	10.2883263	0	70.36654236	53.23534833	35.73848536	30.69034456
CP009208	775560	776840	-	1281	AIK79398.1	-	VK055_0775	-	-	putative transmembrane transport protein	265.345609	90.84010915	173.9666546	129.4710725	585.2730907	165.6364701	126.6366697	78.17793673	79.47641114
CP009208	777206	778144	-	939	AIK79399.1	-	VK055_0776	-	-	"bacterial regulatory helix-turn-helix, lysR family protein"	78.15873135	110.6562021	23.10494632	216.1704514	61.77024704	38.73055572	49.78033897	28.31698538	28.5912408
CP009208	778462	779466	-	1005	AIK79400.1	cydB3	VK055_0777	-	-	"cytochrome d ubiquinol oxidase, subunit II"	2390.737665	289.4915357	407.9042361	126.4654941	153.9108655	429.7281846	303.3357199	193.39132	173.5017828
CP009208	779459	780877	-	1419	AIK79401.1	-	VK055_0778	-	-	bacterial Cytochrome Ubiquinol Oxidase family protein	416.0803051	331.1838104	586.0331789	162.5324357	858.8270418	681.0062387	367.9937522	214.214752	214.5428803
CP009208	781002	781457	-	456	AIK79402.1	-	VK055_0779	-	-	carboxymuconolactone decarboxylase family protein	91.21255308	69.4544247	60.31070546	82.30661039	134.8650394	114.8161895	92.08657605	52.95924746	53.49095431
CP009208	781559	781882	-	324	AIK79403.1	trxA	VK055_0780	-	-	thioredoxin	0	0	0	222.5284059	0	0	2.679395015	2.954189314	1.664806426
CP009208	781910	782557	-	648	AIK79404.1	-	VK055_0781	-	-	zinc-binding dehydrogenase family protein	17.24089662	121.5452432	12.9965323	156.0588821	95.59681089	84.9900419	86.44574444	52.88719406	49.22036391
CP009208	782932	784005	-	1074	AIK79405.1	-	VK055_0782	-	-	FAD binding domain protein	477.3265379	661.1904273	487.837157	762.1453403	251.4931487	286.9680802	345.7124674	209.6753879	201.803492
CP009208	784002	784583	-	582	AIK79406.1	-	VK055_0783	-	-	chrR Cupin-like domain protein	41.04975386	129.0008029	50.88184869	17.33987578	290.5407691	152.9675967	73.26030055	48.2037232	45.45645373
CP009208	785099	785380	-	282	AIK79407.1	-	VK055_0784	-	-	hypothetical protein	59.76844162	199.8286202	347.0838627	25.8942145	92.21415451	125.8924045	58.66464875	33.57688343	35.82952961
CP009208	785618	786580	+	963	AIK79408.1	gcvA	VK055_0785	-	-	gcvA transcriptional dual regulator	183.5744993	101.4348519	187.4728549	105.1952464	229.7264902	204.7289936	153.4306198	86.0317571	91.20243901
CP009208	786992	788548	+	1557	AIK79409.1	-	VK055_0786	-	-	AMP-binding enzyme family protein	80.21121905	90.15341286	69.73956223	52.48202404	189.5758296	285.3030282	138.7644576	89.34621341	94.89396631
CP009208	788545	790137	+	1593	AIK79410.1	-	VK055_0787	-	-	coenzyme A transferase family protein	389.8905622	212.2872529	220.4313812	250.6190047	162.1468985	564.3078166	151.4563288	140.3600191	142.2323751
CP009208	790149	790883	+	735	AIK79411.1	fabG2	VK055_0788	-	-	3-oxoacyl-(Acyl-carrier-protein) reductase	0	0	0	0	9.853825123	0	4.583175684	3.09829611	2.026720867
CP009208	790895	792085	+	1191	AIK79412.1	-	VK055_0789	-	-	acetyl-CoA C-acetyltransferase family protein	42.28124648	1.569591519	65.4073848	238.3654924	131.629455	73.9138269	99.49016754	79.04257751	81.14121757
CP009208	792221	793558	+	1338	AIK79413.1	-	VK055_0790	-	-	major Facilitator Superfamily protein	161.0792342	86.32753353	181.9514523	423.670965	321.5729646	244.2558785	161.4688049	150.9518686	136.5865099
CP009208	793572	794450	+	879	AIK79414.1	-	VK055_0791	-	-	SMP-30/Gluconolaconase/LRE-like region family protein	12.7254237	43.94856252	0	18.14906999	72.72711229	0	27.4990541	25.14663587	28.88077235
CP009208	794560	795897	+	1338	AIK79415.1	-	VK055_0792	-	-	sugar (and other) transporter family protein	80.12911954	68.66962894	132.7684967	106.1200398	78.38938493	168.7493933	127.8353464	123.139257	109.4429268
CP009208	795911	797086	+	1176	AIK79416.1	-	VK055_0793	-	-	glycerate kinase I	36.78057946	155.7819582	67.95572447	104.1548539	34.34131591	51.32703553	129.6686167	142.0893007	187.3269144
CP009208	797083	798240	+	1158	AIK79417.1	-	VK055_0794	-	-	sugar diacid recognition family protein	151.4735917	183.2498098	358.4664466	467.5986503	148.1015209	184.169222	225.7037748	238.7849607	235.2443863
CP009208	798323	799198	-	876	AIK79418.1	-	VK055_0795	-	-	NAD-dependent glycerol-3-phosphate dehydrogenasefamily protein	113.7078182	10.79094169	8.409520903	115.2523744	102.8033397	18.67753902	63.03629325	86.0317571	82.87840688
CP009208	799310	800194	-	885	AIK79419.1	-	VK055_0796	-	-	"bacterial regulatory helix-turn-helix, lysR family protein"	0	0.882895229	0	0	6.177024704	0	11.84574638	26.01127664	22.58346109
CP009208	800306	801049	+	744	AIK79420.1	-	VK055_0797	-	-	sulfite exporter TauE/SafE family protein	14.20321484	18.14840194	69.65461758	24.62262361	9.412609072	40.75757546	39.2037797	54.9767426	56.96533294
CP009208	801055	801753	-	699	AIK79421.1	-	VK055_0798	-	-	putative transcriptional regulator	151.4735917	214.0530434	199.4500513	61.96115614	76.03623266	172.0071035	115.4255168	105.7743881	110.5286701
CP009208	802021	803553	+	1533	AIK79422.1	-	VK055_0799	-	-	"PTS system, glucose-like IIB component domain protein"	365.6712074	363.3604366	492.0843898	311.5397683	487.1760555	730.4510416	247.7030181	204.6316501	204.1921273
CP009208	803565	804893	+	1329	AIK79423.1	malH	VK055_0800	-	-	maltose-6'-phosphate glucosidase	153.3618804	236.321623	159.0163953	204.0325384	351.5756561	885.6628387	217.4540586	180.1334948	183.9249187
CP009208	805268	805381	-	114	AIK79424.1	-	VK055_0801	-	-	hypothetical protein	10.50873699	5.395470846	12.40191972	8.55433872	54.26957418	3.330103857	0	0	7.744969027
CP009208	805638	807083	+	1446	AIK79425.1	-	VK055_0802	-	-	"MFS transporter, sugar porter family protein"	89.81686145	106.9284222	546.1941354	52.13522652	170.6770754	46.40427331	100.9708858	69.81974257	63.62455865
CP009208	807073	807516	+	444	AIK79426.1	-	VK055_0803	-	-	"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2 family protein"	55.2529687	196.2970393	86.47365938	0	10.58918521	69.35303249	23.76200316	17.72513589	15.8518525
CP009208	807746	807904	+	159	AIK79427.1	-	VK055_0804	-	-	hypothetical protein	6.239562587	0	47.48406247	0	0	31.20162526	6.204914772	2.377762131	2.533401084
CP009208	807933	808172	+	240	AIK79428.1	-	VK055_0805	-	-	hypothetical protein	108.9460467	43.94856252	66.51166532	0	20.95776239	45.60794412	41.81266432	34.22536401	26.13022261
CP009208	808197	808337	+	141	AIK79429.1	-	VK055_0806	-	-	hypothetical protein	0	21.28758497	0	5.086363563	6.765312771	0	4.583175684	2.521868927	2.895315524
CP009208	808525	809460	+	936	AIK79430.1	-	VK055_0807	-	-	esterase family protein	21.67427004	0	22.34044442	86.93057726	46.91597334	123.9377783	42.51776827	25.65100966	34.30948896
CP009208	809494	811149	-	1656	AIK79431.1	-	VK055_0808	-	-	diguanylate cyclase domain protein	468.6239901	478.5292143	88.59727577	261.8321243	72.58004027	282.69686	141.514363	82.21292701	85.77372241
CP009208	811446	811694	+	249	AIK79432.1	-	VK055_0809	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	811780	811911	-	132	AIK79433.1	-	VK055_0810	-	-	hypothetical protein	13.13592124	0	29.39085083	0	0	165.8536508	1.480718298	0	1.302891986
CP009208	811984	812202	+	219	AIK79434.1	-	VK055_0811	-	-	hypothetical protein	0	0	0	0	0	0	2.044801459	0	2.099103755
CP009208	812183	812965	+	783	AIK79435.1	map	VK055_0812	-	-	"methionine aminopeptidase, type I"	295.6403273	872.1042876	148.3133686	542.1601162	115.5986052	455.7174734	152.8665367	128.1109415	113.858283
CP009208	813238	813480	-	243	AIK79436.1	-	VK055_0813	-	-	hypothetical protein	0	120.662348	0	0	0	6.22584634	20.65954577	23.05708733	19.90529423
CP009208	813926	814489	+	564	AIK79437.1	-	VK055_0814	-	-	fimbrial family protein	25.86134493	164.5128111	162.3292368	22.42623935	22.13433852	166.5051928	42.44725787	29.75805334	30.03889856
CP009208	814567	815262	+	696	AIK79438.1	-	VK055_0815	-	-	"gram-negative pili assembly chaperone, C-terminal domain protein"	9.35934388	99.76716091	25.73823064	25.0850203	56.03443838	28.37827634	57.32495125	60.30869405	60.72924312
CP009208	815278	817779	+	2502	AIK79439.1	-	VK055_0816	-	-	"type VII secretion system (T7SS), usher family protein"	270.1894799	281.1530808	97.51646461	239.1746866	161.9998265	292.614778	224.8576501	265.0844509	252.6886624
CP009208	817767	818771	+	1005	AIK79440.1	-	VK055_0817	-	-	fimbrial family protein	199.0092067	23.54387278	50.20229145	16.8774791	1.691328193	15.78179654	47.59451672	74.14294645	73.90292876
